# Wavelength[Angstrom] Flux_16[erg/s/cm^2/A] Flux_22[erg/s/cm^2/A] Flux_30[erg/s/cm^2/A] Flux_40[erg/s/cm^2/A]
1.342353951890034477e+04 4.302090344619969016e-15 1.708633020625088024e-15 7.580513296778688652e-16 5.167527343551768782e-16
1.338831467894821617e+04 4.321802434613423933e-15 1.682924194451775172e-15 7.684299766339726707e-16 4.907081214949769906e-16
1.335327422283944179e+04 4.284602156321885395e-15 1.669474405160730098e-15 7.540587917682886067e-16 4.922924396049579956e-16
1.331841670662191791e+04 4.451252823606523148e-15 1.692027747383395724e-15 7.825191066947090015e-16 5.117941258305443416e-16
1.328374070138151001e+04 4.328261850361902080e-15 1.725802381733568505e-15 7.768741643530966651e-16 4.994641484365489563e-16
1.324924479304679880e+04 4.427632258924667522e-15 1.765697217544397865e-15 7.871232683186606803e-16 4.879625163926066117e-16
1.321492758219685129e+04 4.539632075300003399e-15 1.780974213655771015e-15 7.925971904482714066e-16 5.184491856218402395e-16
1.318078768387199125e+04 4.509991787581852818e-15 1.789293510063499448e-15 7.812157096907018236e-16 5.175746072685845036e-16
1.314682372738746380e+04 4.526019530508452622e-15 1.811525413405572592e-15 7.920438023047187191e-16 5.226869708978167686e-16
1.311303435615001399e+04 4.621882165887633075e-15 1.837425649074849129e-15 7.654989716111641906e-16 5.260025857617181696e-16
1.307941822747724291e+04 4.750665106416146962e-15 1.826541027110801773e-15 8.016303433834491827e-16 5.310117916086096568e-16
1.304597401241976877e+04 4.635023230993537511e-15 1.829236325160944576e-15 8.028507191968752950e-16 5.318184714411703931e-16
1.301270039558609278e+04 4.791510127643789630e-15 1.844189170977970435e-15 8.342217246895925621e-16 5.458197161542029151e-16
1.297959607497014804e+04 4.740099833495913505e-15 1.849561722522495659e-15 8.493567918588665581e-16 5.503987745155203390e-16
1.294665976178146047e+04 4.860937839388845843e-15 1.908520014340655950e-15 8.375526391973016756e-16 5.637486199899032627e-16
1.291389018027790735e+04 4.817951416381737864e-15 1.912517995468732601e-15 8.589724165237995111e-16 5.979869614762815311e-16
1.288128606760098955e+04 4.901375806704226648e-15 1.934540284746817087e-15 8.663981973157921694e-16 5.944621947858999941e-16
1.284884617361361052e+04 4.837706107520315322e-15 1.952546715291054910e-15 8.792054204815102230e-16 6.047037377034466973e-16
1.281656926074028524e+04 4.908525437289937130e-15 1.992239331817932646e-15 8.977225359706107684e-16 6.194345445361192782e-16
1.278445410380976864e+04 4.841974027453464831e-15 1.998077325003593268e-15 8.880682810441355707e-16 6.331781504312744022e-16
1.275249948990002122e+04 4.932374352448723768e-15 2.041299437401203416e-15 8.853149858529453744e-16 6.004465662604794764e-16
1.272070421818551949e+04 4.998380766660149531e-15 2.098954467798728907e-15 9.113103766112952798e-16 6.365970306714952375e-16
1.268906709978682557e+04 5.176889260548680892e-15 2.098516096212026348e-15 9.175745272799843386e-16 6.492935536279754420e-16
1.265758695762240131e+04 5.194117530872080733e-15 2.127716011220399492e-15 8.972173226515840622e-16 6.352596977780550764e-16
1.262626262626262724e+04 5.329270253765576918e-15 2.147348521989984805e-15 9.368017911851353503e-16 6.351384645840771135e-16
1.259509295178598404e+04 5.407526232249058632e-15 2.139623446491130538e-15 9.626569772633325573e-16 6.453434220406183155e-16
1.256407679163735156e+04 5.439003357083962662e-15 2.198416458796166489e-15 9.714055831772626741e-16 6.606989104750201539e-16
1.253321301448839586e+04 5.406761479191495719e-15 2.247057117079366743e-15 9.408133393483215995e-16 6.595189621635443213e-16
1.250250050010002087e+04 5.506036087006023331e-15 2.266713617688429136e-15 9.261769724328335694e-16 6.537457923556487995e-16
1.247193813918683009e+04 5.516425326142425641e-15 2.272001777681834327e-15 9.772333204147103896e-16 6.497406278641098623e-16
1.244152483328356720e+04 5.498870182906513947e-15 2.288383756069647303e-15 9.978857205265162492e-16 6.703052142486058596e-16
1.241125949461351411e+04 5.535175209562179259e-15 2.297821714567649812e-15 1.003970977451721361e-15 6.665375355486873017e-16
1.238114104595879508e+04 5.513160778729781389e-15 2.346412943515212377e-15 1.013759593399163188e-15 6.972545668192054518e-16
1.235116842053258370e+04 5.543926885708057003e-15 2.375506045925731567e-15 1.001366091566329923e-15 6.822794458555147376e-16
